Token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,ExchangeCode
757448,TYF26B,TB,364 Day T Bill 11 Jun 26,0.01,1,,,0,100,IN002025Z112,0,0,95.15,94.5,,,,0,0,0,99.22,89.77,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,364D110626
757455,NIPB30,EQ,NIPPON INDIA SENSEX NXT 30 ETF,0.01,1,,,0,10,INF204KC1EZ3,40.76,37.03,40.76,37.03,,,,0,0,0,46.57,31.04,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SNXT30BEES
757478,SCOTUB,EQ,SCODA TUBES LIMITED,0.01,1,,,0,10,INE090501011,230.85,135.1,230.85,135.1,,,,0,0,0,242.78,161.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SCODATUBES
757489,NRVIND,SM,N R VANDANA TEX INDUSTRIES LTD,0.01,1,,,0,10,INE104101014,46,37.05,46,37.05,,,,0,0,0,47.2,31.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,NRVANDANA
757493,NEPPET,SM,NEPTUNE PETROCHEMICALS LIMITED,0.01,1,,,0,10,INE156901014,152.75,126.3,152.75,126.3,,,,0,0,0,170.4,113.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,NEPTUNE
757509,ASLRE1,BE,ASTEC LIFESCIENCES LIMITED RE,0.01,1,,,0,10,INE563J20010,27.15,4.95,22.65,4.95,,,,0,0,0,32.55,21.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ASTEC-RE
757515,DIGSOL,EQ,DIGITIDE SOLUTIONS LIMITED,0.01,1,,,0,10,INE0U4701011,278,186.57,278,186.57,,,,0,0,0,321.58,214.39,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DIGITIDE
757520,BLUENT,EQ,BLUSPRING ENTERPRISES LIMITED,0.01,1,,,0,10,INE0U4101014,100.88,67.06,100.88,67.06,,,,0,0,0,110.32,73.55,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BLUSPRING
757528,GANBAT,ST,GANGA BATH FITTINGS LIMITED,0.01,1,,,0,10,INE0ZI101018,59,28.3,59,29.25,,,,0,0,0,31.15,28.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GANGABATH
757535,MIERE1,BE,MIRC ELECTRONICS LIMITED RE,0.01,1,,,0,10,INE831A20010,6.18,2.6,6.18,2.6,,,,0,0,0,8.34,3.57,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MIRC-RE
757540,FOURE1,BE,GVP INFOTECH LIMITED RE,0.01,1,,,0,10,INE382T20014,1.2,0.22,1.2,0.22,,,,0,0,0,0.26,0.17,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GVPTECH-RE
757545,TRVFOO,EQ,TRAVEL FOOD SERVICES LIMITED,0.01,1,,,0,10,INE103V01028,1187.8,1038.1,1164.8,1038.1,,,,0,0,0,1290.9,1056.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TRAVELFOOD
757562,TQI25D,TB,91 Day T Bill 25 Sep 25,0.01,1,,,0,100,IN002025X133,0,0,0,0,,,,0,0,0,103.64,93.77,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D250925
757563,THL25D,TB,182 Day T Bill 25 Dec 25,0.01,1,,,0,100,IN002025Y131,0,0,0,0,,,,0,0,0,101.85,92.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D251225
757564,TYF26D,TB,364 Day T Bill 25 Jun 26,0.01,1,,,0,100,IN002025Z138,0,0,0,0,,,,0,0,0,99.48,90.01,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,364D250626
757579,AAKMED,SM,AAKAAR MEDICAL TECH LIMITED,0.01,1,,,0,10,INE1GYP01013,105,62,105,62,,,,0,0,0,113.55,75.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,AAKAAR
757583,SAFENT,SM,SAFE ENTERPRISES RETAIL LTD,0.01,1,,,0,5,INE17D601016,249.25,151,249.25,151,,,,0,0,0,264.6,176.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SAFEENTP
