Token,ShortName,Series,CompanyName,TickSize,LotSize,ScripCode,MarketLot,BCastFlag,AVMBuyMargin,AVMSellMargin,ScripID,ScripName,GroupName,NdFlag,NDSDate,NDEDate,SuspStatus,avmflag,SuspensionReason,Suspensiondate,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,MarginPercentage,ExchangeCode
939351,INHNC1,DR,9.9%INDIABULLS HOUSG FIN MAR27,1176,1,939351,0,0,0,0,990IHFL27,9.9%INDIABULLS HOUSG FIN MAR27,,,,,,,,,,,784,1000,INE148I07SG8,0,0,0,0,,,,990IHFL27
939339,INHNC2,DR,9.25% INDIABULLS HOUSING MAR26,1200,1,939339,0,0,0,0,925IHFL26A,9.25% INDIABULLS HOUSING MAR26,,,,,,,,,,,800,1000,INE148I07SA1,0,0,0,0,,,,925IHFL26A
939341,INHNC3,DR,9.65% INDIABULLS HOUSING Mar-2,1203.6,1,939341,0,0,0,0,965IHFL26,9.65% INDIABULLS HOUSING Mar-2,,,,,,,,,,,802.4,1000,INE148I07SD5,0,0,0,0,,,,965IHFL26
939343,INHNC4,DR,8.88% INDIABULLS HOUSING MAR26,1200,1,939343,0,0,0,0,888IHFL26,8.88% INDIABULLS HOUSING MAR26,,,,,,,,,,,800,1000,INE148I07SB9,0,0,0,0,,,,888IHFL26
939345,INHNC5,DR,9.25% INDIABULLS HOUSING MAR26,1134.24,1,939345,0,0,0,0,925IHFL26B,9.25% INDIABULLS HOUSING MAR26,,,,,,,,,,,756.16,1000,INE148I07SC7,0,0,0,0,,,,925IHFL26B
939347,INHNC6,DR,0 % INDIABULLS HOUSING MAR26,1224.24,1,939347,0,0,0,0,0IHFL26,0 % INDIABULLS HOUSING MAR26,,,,,,,,,,,816.16,1000,INE148I07SF0,0,0,0,0,,,,0IHFL26
939349,INHNC7,DR,9.4% INDIABULLS HOUSING MAR27,1200,1,939349,0,0,0,0,940IHFL27,9.4% INDIABULLS HOUSING MAR27,,,,,,,,,,,800,1000,INE148I07SH6,0,0,0,0,,,,940IHFL27
0,INHNC8,DR,9.9% INDIABULLS HOUSING Mar27,0,1,0,0,0,0,0,0,9.9% INDIABULLS HOUSING Mar27,,,,,,,,,,,0,1000,,0,0,0,0,,,,0
939353,INHNC9,DR,9.02% INDIABULLS HOUSING MAR33,1200,1,939353,0,0,0,0,902IHFL27,9.02% INDIABULLS HOUSING MAR33,,,,,,,,,,,800,1000,INE148I07SJ2,0,0,0,0,,,,902IHFL27
937655,INHND1,DR,8.35% Indiabulls Hou. Sep 23,1279.2,1,937655,0,0,0,0,835IHFL23,8.35% Indiabulls Hou. Sep 23,,,,,,,,,,,852.8,1000,INE148I07KA8,1066,815.5,1066,815.5,,,,835IHFL23
937657,INHND2,DR,8.75% Indiabulls Hou. Sep 23,1272,1,937657,0,0,0,0,875IHFL23,8.75% Indiabulls Hou. Sep 23,,,,,,,,,,,848,1000,INE148I07KB6,1065,970,1198,905,,,,875IHFL23
937659,INHND3,DR,0% Indiabulls Hou. Sep 23,1200,1,937659,0,0,0,0,IHFL24SEP21,0% Indiabulls Hou. Sep 23,,,,,,,,,,,800,1000,INE148I07KC4,0,0,0,0,,,,IHFL24SEP21
937661,INHND4,DR,0% Indiabulls Hou. Sep 23,1392.72,1,937661,0,0,0,0,IHF27SEP21,0% Indiabulls Hou. Sep 23,,,,,,,,,,,928.48,1000,INE148I07KD2,1160.6,981,1160.6,831,,,,IHF27SEP21
937663,INHND5,DR,8.05% Indiabulls Hou. Sep 23,1200,1,937663,0,0,0,0,805IHFL23,8.05% Indiabulls Hou. Sep 23,,,,,,,,,,,800,1000,INE148I07KE0,0,0,0,0,,,,805IHFL23
937665,INHND6,DR,8.42% Indiabulls Hou. Sep 23,1164,1,937665,0,0,0,0,842IHFL23,8.42% Indiabulls Hou. Sep 23,,,,,,,,,,,776,1000,INE148I07KF7,1134,952.11,1134,824.2,,,,842IHFL23
937667,INHND7,DR,8.5% Indiabulls Housing Sep 24,1200,1,937667,0,0,0,0,935PEL33A,8.5% Indiabulls Housing Sep 24,,,,,,,,,,,800,1000,INE148I07KG5,0,0,0,0,,,,935PEL33A
937669,INHND8,DR,9% Indiabulls Housing Sep 24,1273.02,1,937669,0,0,0,0,835PCHF23,9% Indiabulls Housing Sep 24,,,,,,,,,,,848.68,1000,INE148I07KH3,1078,950,1078,819.85,,,,835PCHF23
937671,INHND9,DR,0% Indiabulls Housing Sep 24,1518.9,1,937671,0,0,0,0,82IHFL24,0% Indiabulls Housing Sep 24,,,,,,,,,,,1012.6,1000,INE148I07KJ9,1597,944.5,1597,822.85,,,,82IHFL24
51180,INHOFS,C,INDO TECH TRANSFORMERS OFS,0,1,51180,0,0,0,0,INDOTECH,INDO TECH TRANSFORMERS OFS,,,,,,,,,,,0,0,INE000000180,0,0,0,0,,,,INDOTECH
526610,INHOU,C,IN HOUSE PRODUCTIONS LIMITED,4.81,1,526610,0,0,0,0,INHOUPROD,IN HOUSE PRODUCTIONS LIMITED,,,,,,,,,,,4.63,10,INE120B01024,6.6,1.61,272.2,1,,,,INHOUPROD
750681,INHRE1,C,INDIAN HOTELS CO RIGHTS ENT,46.48,1,750681,0,0,0,0,IHCL-RE,INDIAN HOTELS CO RIGHTS ENT,,,,,,,,,,,19.92,1,INE053A20011,77,22.1,77,22.1,,,,IHCL-RE
