Token,InstrumentName,ShortName,Series,ExpiryDate,StrikePrice,OptionType,CALevel,PermittedToTrade,IssueCapital,WarningQty,FreezeQty,CreditRating,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotMarketEligibility,SpotMarketEligibility,AuctionMarketEligibility,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,MarginPercentage,MinimumLotQty,LotSize,TickSize,CompanyName,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,LowPriceRange,HighPriceRange,SecurityExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MF,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,ExcerciseStartDate,ExcerciseEndDate,OldToken,AssetInstrument,AssetName,AssetToken,IntrinsicValue,ExtrinsicValue,ExcerciseStyle,EGM,AGM,Interest,Bonus,Rights,Dividends,ExAllowed,ExRejectionAllowed,PlAllowed,IsThisAsset,IsCorpAdjusted,LocalUpdateDatetime,DeleteFlag,Remarks,BasePrice,ExchangeCode
1140973,OPTIND,BSESEN,OPTION,29-Jul-2025,77000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,2480.6,8114.15,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140976,OPTIND,BANKEX,OPTION,29-Jul-2025,56300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,5133.45,9499.95,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1140978,OPTIND,BANKEX,OPTION,29-Jul-2025,58600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,2837,7202.2,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1140979,OPTIND,BANKEX,OPTION,29-Jul-2025,61000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,690,0,30,5,BANKEX,,,,,0.05,102.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140980,OPTIND,BANKEX,OPTION,29-Jul-2025,63300,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,1530,0,30,5,BANKEX,,,,,0.05,1161.55,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140983,OPTIND,BSESEN,OPTION,29-Jul-2025,73300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,6168.45,11816.75,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1140986,OPTIND,BSESEN,OPTION,29-Jul-2025,76700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,240,0,20,5,BSE SENSEX,,,,,1.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140987,OPTIND,BSESEN,OPTION,29-Jul-2025,87000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,25700,0,20,5,BSE SENSEX,,,,,0.05,40.55,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140988,OPTIND,BANKEX,OPTION,29-Jul-2025,64000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,7020,0,30,5,BANKEX,,,,,0.05,1171.15,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140991,OPTIND,BANKEX,OPTION,29-Jul-2025,66300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,180,0,30,5,BANKEX,,,,,0.05,112.3,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140993,OPTIND,BANKEX,OPTION,29-Jul-2025,68600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,0.05,33.2,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1140996,OPTIND,BSESEN,OPTION,29-Jul-2025,81000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,18900,0,20,5,BSE SENSEX,,,,,0.05,3539.8,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140999,OPTIND,BSESEN,OPTION,29-Jul-2025,83300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,9120,0,20,5,BSE SENSEX,,,,,0.05,1057.4,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141000,OPTIND,BSESEN,OPTION,29-Jul-2025,85600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,940,0,20,5,BSE SENSEX,,,,,0.05,178.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141003,OPTIND,BANKEX,OPTION,29-Jul-2025,60300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,1164.8,5479.4,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141005,OPTIND,BANKEX,OPTION,29-Jul-2025,62600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,120,0,30,5,BANKEX,,,,,0.05,2591.95,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1141006,OPTIND,BANKEX,OPTION,29-Jul-2025,64900,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,690,0,30,5,BANKEX,,,,,0.05,549.5,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1141008,OPTIND,BSESEN,OPTION,29-Jul-2025,81900,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,6320,0,20,5,BSE SENSEX,,,,,0.05,2395.45,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141012,OPTIND,BANKEX,OPTION,29-Jul-2025,58000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,180,0,30,5,BANKEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1141015,OPTIND,BSESEN,OPTION,29-Jul-2025,75000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,80,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141017,OPTIND,BSESEN,OPTION,29-Jul-2025,77300,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1141018,OPTIND,BSESEN,OPTION,29-Jul-2025,79600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,1540,0,20,5,BSE SENSEX,,,,,0.05,237.5,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141021,OPTIND,BANKEX,OPTION,29-Jul-2025,56600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141022,OPTIND,BANKEX,OPTION,29-Jul-2025,58900,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,0.05,22.85,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141023,OPTIND,BANKEX,OPTION,29-Jul-2025,68000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,2193.15,6543.85,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141024,OPTIND,BSESEN,OPTION,29-Jul-2025,73600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8073751,SENSEX
1141026,OPTIND,BSESEN,OPTION,29-Jul-2025,75900,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8217645,SENSEX
1141027,OPTIND,BSESEN,OPTION,29-Jul-2025,78000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,1820,0,20,5,BSE SENSEX,,,,,1359.3,6940.6,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141028,OPTIND,BSESEN,OPTION,29-Jul-2025,85000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,640,0,20,5,BSE SENSEX,,,,,137.9,5216.1,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
